,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,,7,,,,,,3,4,,,,,,5,17
1961-62,23,DET,NBA,,7,,,,,,2,2,,,,,,5,16
1962-63,24,DET,NBA,,7,12,,,,,2,4,,,8,3,,6,16
1967-68,29,NOB,ABA,,9,,0,,,,7,8,,,,,,,21
1968-69,30,NOB,ABA,,10,,0,,,,4,5,,,,,,,24
Career,,,TOT,,10,,,,,,7,8,,,,,,,24
,,,NBA,,7,,,,,,3,4,,,,,,6,17
,,,ABA,,10,,0,,,,7,8,,,,,,,24
,,,,,,,,,,,,,,,,,,,
2 Seasons,,NOB,ABA,,10,,0,,,,7,8,,,,,,,24
3 Seasons,,DET,NBA,,7,,,,,,3,4,,,,,,6,17
