Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1960-61,22,DET,NBA,PF,3,NA,45,11.2,24.8,0.452,NA,NA,NA,11.2,24.8,0.452,3.2,4,0.8,NA,NA,14.4,2.4,NA,8,25.6
1961-62,23,DET,NBA,PF,7,NA,96,6.4,12.4,0.515,NA,NA,NA,6.4,12.4,0.515,1.5,2.6,0.571,NA,NA,9,2.6,NA,8.2,14.2
1962-63,24,DET,NBA,PF,4,NA,82,5.7,11.4,0.5,NA,NA,NA,5.7,11.4,0.5,3.1,4.4,0.7,NA,NA,8.8,2.6,NA,7.9,14.5
1967-68,29,NOB,ABA,PF,17,NA,487,6.2,14.3,0.435,0,0.1,0,6.2,14.1,0.44,3,4.4,0.678,NA,NA,8.4,3.2,2,5.5,15.4
1968-69,30,NOB,ABA,PF,11,NA,342,6.2,15.7,0.396,0,0,NA,6.2,15.7,0.396,2.2,3.5,0.636,NA,NA,8.3,2.8,2,5.2,14.6
Career,NA,,TOT,,42,NA,1052,6.4,14.8,0.433,0,0.1,0,6.4,14.7,0.435,2.6,3.9,0.667,NA,NA,8.7,2.9,2,5.9,15.4
,NA,,ABA,,28,NA,829,6.2,14.9,0.418,0,0.1,0,6.2,14.8,0.421,2.6,4,0.663,NA,NA,8.4,3,2,5.3,15.1
,NA,,NBA,,14,NA,223,7.1,14.5,0.489,NA,NA,NA,7.1,14.5,0.489,2.4,3.6,0.682,NA,NA,10,2.6,NA,8.1,16.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOB,ABA,,28,NA,829,6.2,14.9,0.418,0,0.1,0,6.2,14.8,0.421,2.6,4,0.663,NA,NA,8.4,3,2,5.3,15.1
3 seasons,NA,DET,NBA,,14,NA,223,7.1,14.5,0.489,NA,NA,NA,7.1,14.5,0.489,2.4,3.6,0.682,NA,NA,10,2.6,NA,8.1,16.6
