Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jason Caffey,,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Mike Sanders,87.3,3.9,3.1,2.7,1.2,1,0.8,0.8,0.6
Steve Novak,86.5,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3
Jim Petersen,85.6,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3
Dwight Davis,85.2,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Walter McCarty,85.2,4.1,2.9,2.9,1.8,0.7,0.5,0,-0.2
George Johnson,84.6,3.8,3.2,2.5,2.2,1,0.7,0.6,0
Duane Ferrell,83.6,3.5,3.2,2.8,1.9,1.2,1,0.4,-0.1
Richaun Holmes,82.5,4.3,3.8,2.8,1.5,NA,NA,NA,NA
Tom Abernethy,82.2,4.1,3.7,3.1,2,0.4,NA,NA,NA
Barry Clemens,82.2,3.5,3.5,2.8,1.8,1.7,0.9,0.1,0.1
