Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,23,CHI,NBA,PF,17,5,167,5,11.1,0.455,0,0,NA,5,11.1,0.455,3.7,4.7,0.786,8.4,5.7,14.1,5,1,1,4,9.1,13.8,NA,109,104
2000-01,27,MIL,NBA,PF,18,0,297,4.4,11.5,0.381,0,0,NA,4.4,11.5,0.381,3.7,5.7,0.645,5.7,7.9,13.6,2.6,0.5,0.9,2.7,8.1,12.5,NA,98,108
Career,NA,,NBA,,35,5,464,4.6,11.4,0.406,0,0,NA,4.6,11.4,0.406,3.7,5.3,0.689,6.6,7.1,13.7,3.4,0.7,0.9,3.2,8.4,12.9,NA,102,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,18,0,297,4.4,11.5,0.381,0,0,NA,4.4,11.5,0.381,3.7,5.7,0.645,5.7,7.9,13.6,2.6,0.5,0.9,2.7,8.1,12.5,NA,98,108
1 season,NA,CHI,NBA,,17,5,167,5,11.1,0.455,0,0,NA,5,11.1,0.455,3.7,4.7,0.786,8.4,5.7,14.1,5,1,1,4,9.1,13.8,NA,109,104
