Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jason Caffey,,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA,NA
Jim Petersen,85.6,4.7,3.4,2.9,1,0.6,0.4,0.3,0.3,NA,NA,NA
Dwight Davis,85.2,3.7,3.3,2.3,1.5,0.6,NA,NA,NA,NA,NA,NA
Terry Davis,85.0,3.6,3.1,2,1.4,0.5,0.5,0.5,0.4,0.2,-0.1,NA
George Johnson,84.6,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA,NA
Walter McCarty,84.6,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2,NA
Steve Novak,84.5,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1,0
Richaun Holmes,82.5,4.3,3.8,2.8,1.5,NA,NA,NA,NA,NA,NA,NA
Tom Abernethy,82.2,4.1,3.7,3.1,2,0.4,NA,NA,NA,NA,NA,NA
Eddie Griffin,81.5,3.9,3.2,2.4,1.5,-0.2,NA,NA,NA,NA,NA,NA
Dave Budd,81.3,4.1,3.2,2.3,1.2,0.9,NA,NA,NA,NA,NA,NA
