Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23,FLO,ABA,SF,83,NA,2172,6.7,14.9,0.452,0.1,0.3,0.211,6.6,14.5,0.457,1.7,2.2,0.769,2.4,4.4,6.8,1.9,NA,1.6,3,15.2
1971-72,24,FLO,ABA,SF,51,NA,686,6.6,15.7,0.42,0,0.1,0,6.6,15.6,0.423,2.8,3.6,0.794,3,4.1,7.1,2.5,NA,1.3,3.7,16.1
Career,NA,,ABA,,134,NA,2858,6.7,15.1,0.444,0.1,0.3,0.19,6.6,14.8,0.449,2,2.5,0.777,2.5,4.3,6.9,2,NA,1.5,3.2,15.4
