Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1964-65,23,NYK,NBA,PG,80,2378,10.5,0.43,0.249,NA,NA,NA,16,NA,NA,NA,-0.5,1.2,0.7,0.014,NA,NA,NA,NA,NA
1965-66,24,NYK,NBA,PG,80,2612,12,0.449,0.251,NA,NA,NA,21.5,NA,NA,NA,0.4,0.6,1,0.018,NA,NA,NA,NA,NA
1966-67,25,NYK,NBA,PG,65,2282,13,0.461,0.254,NA,NA,NA,23.2,NA,NA,NA,0.7,0.8,1.5,0.031,NA,NA,NA,NA,NA
1967-68,26,NYK,NBA,PG,78,1660,9.9,0.426,0.255,NA,NA,NA,18.9,NA,NA,NA,-1.1,1.4,0.3,0.01,NA,NA,NA,NA,NA
1968-69,27,TOT,NBA,PG,85,2562,11.5,0.444,0.271,NA,NA,NA,20.6,NA,NA,NA,-0.2,1.6,1.4,0.026,NA,NA,NA,NA,NA
1968-69,27,NYK,NBA,PG,32,836,10.4,0.414,0.278,NA,NA,NA,21,NA,NA,NA,-0.7,1,0.3,0.018,NA,NA,NA,NA,NA
1968-69,27,DET,NBA,PG,53,1726,12.1,0.459,0.268,NA,NA,NA,20.4,NA,NA,NA,0.5,0.6,1.1,0.03,NA,NA,NA,NA,NA
1969-70,28,DET,NBA,PG,82,2418,10.6,0.467,0.267,NA,NA,NA,17.3,NA,NA,NA,-0.1,0.9,0.9,0.017,NA,NA,NA,NA,NA
1970-71,29,DET,NBA,PG,82,1932,9.7,0.429,0.211,NA,NA,3.8,18.6,NA,NA,NA,-1.2,1.4,0.2,0.004,NA,NA,NA,NA,NA
1971-72,30,DET,NBA,PG,79,2071,9.6,0.435,0.289,NA,NA,3.9,18.7,NA,NA,NA,-1.1,0.3,-0.8,-0.019,NA,NA,NA,NA,NA
1972-73,31,BUF,NBA,PG,67,1468,9.1,0.435,0.228,NA,NA,3.8,20.7,NA,NA,NA,-0.5,0.3,-0.1,-0.005,NA,NA,NA,NA,NA
1973-74,32,KCO,NBA,PG,44,830,8.1,0.453,0.198,1.3,4.2,2.7,15.4,1.7,0.2,NA,-0.1,0.3,0.1,0.008,NA,-3.7,-0.3,-4,-0.4
Career,NA,,NBA,,742,20213,10.7,0.444,0.253,1.3,4.2,3.7,19.3,1.7,0.2,NA,-3.7,8.8,5,0.012,NA,-3.7,-0.3,-4,-0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,335,9768,11.4,0.441,0.254,NA,NA,NA,20.1,NA,NA,NA,-1.2,5,3.8,0.019,NA,NA,NA,NA,NA
4 seasons,NA,DET,NBA,,296,8147,10.5,0.448,0.259,NA,NA,3.9,18.6,NA,NA,NA,-1.9,3.2,1.3,0.007,NA,NA,NA,NA,NA
1 season,NA,BUF,NBA,,67,1468,9.1,0.435,0.228,NA,NA,3.8,20.7,NA,NA,NA,-0.5,0.3,-0.1,-0.005,NA,NA,NA,NA,NA
1 season,NA,KCO,NBA,,44,830,8.1,0.453,0.198,1.3,4.2,2.7,15.4,1.7,0.2,NA,-0.1,0.3,0.1,0.008,NA,-3.7,-0.3,-4,-0.4
