Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,23,NYK,NBA,PG,80,NA,2378,381,1020,0.374,212,254,0.835,NA,NA,195,265,NA,NA,246,974
1965-66,24,NYK,NBA,PG,80,NA,2612,436,1116,0.391,241,280,0.861,NA,NA,281,425,NA,NA,278,1113
1966-67,25,NYK,NBA,PG,65,NA,2282,402,995,0.404,217,253,0.858,NA,NA,183,401,NA,NA,213,1021
1967-68,26,NYK,NBA,PG,78,NA,1660,233,631,0.369,132,161,0.82,NA,NA,168,246,NA,NA,170,598
1968-69,27,TOT,NBA,PG,85,NA,2562,379,974,0.389,211,264,0.799,NA,NA,299,403,NA,NA,274,969
1968-69,27,NYK,NBA,PG,32,NA,836,107,309,0.346,73,86,0.849,NA,NA,95,137,NA,NA,96,287
1968-69,27,DET,NBA,PG,53,NA,1726,272,665,0.409,138,178,0.775,NA,NA,204,266,NA,NA,178,682
1969-70,28,DET,NBA,PG,82,NA,2418,363,878,0.413,190,234,0.812,NA,NA,193,312,NA,NA,247,916
1970-71,29,DET,NBA,PG,82,NA,1932,275,715,0.385,121,151,0.801,NA,NA,152,262,NA,NA,184,671
1971-72,30,DET,NBA,PG,79,NA,2071,262,702,0.373,164,203,0.808,NA,NA,172,291,NA,NA,196,688
1972-73,31,BUF,NBA,PG,67,NA,1468,163,429,0.38,85,98,0.867,NA,NA,118,239,NA,NA,155,411
1973-74,32,KCO,NBA,PG,44,NA,830,78,192,0.406,33,38,0.868,10,33,43,97,32,3,83,189
Career,NA,,NBA,,742,NA,20213,2972,7652,0.388,1606,1936,0.83,10,33,1804,2941,32,3,2046,7550
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,335,NA,9768,1559,4071,0.383,875,1034,0.846,NA,NA,922,1474,NA,NA,1003,3993
4 seasons,NA,DET,NBA,,296,NA,8147,1172,2960,0.396,613,766,0.8,NA,NA,721,1131,NA,NA,805,2957
1 season,NA,BUF,NBA,,67,NA,1468,163,429,0.38,85,98,0.867,NA,NA,118,239,NA,NA,155,411
1 season,NA,KCO,NBA,,44,NA,830,78,192,0.406,33,38,0.868,10,33,43,97,32,3,83,189
