Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Howard Komives,,1.5,1.4,1,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8
Rex Walters,74.8,1.6,1.6,1.2,0.9,0.5,0.4,0.3,NA,NA,NA
Michael Carter-Williams,70.4,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA
Tony Smith,67.2,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2,NA
John Wetzel,64.9,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA,NA
Brook Steppe,63.0,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA
Pat Riley,61.1,1.3,1.1,1,1,0.6,0.3,0,-0.3,-0.6,NA
Todd Lichti,57.7,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA,NA
Troy Daniels,56.9,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA
Joe Hassett,55.9,2,1.6,1.4,0.9,0.5,0,NA,NA,NA,NA
Sebastian Telfair,55.5,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4
