Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Clarence Weatherspoon,,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1
Marvin Williams,93.4,7.8,6.1,5.7,5.7,5,5,4.9,4.3,4,2.9,2.8,2.3,2.3
Eddie Johnson,91.7,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4,3.9,3,2.4,1.8
Nicolas Batum,91.2,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA
Rudy Gay,91.2,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5
Juwan Howard,91.1,7,6,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Amir Johnson,90.9,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,0.5,0.2
Mike Dunleavy,90.6,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,0.5
Robert Horry,90.6,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.6,4.2,3.6,2.9,2.6,1.7
Kurt Thomas,90.1,8.2,6.5,5.4,5.2,5.2,5,4.1,3.8,3.3,2.9,2.5,0.5,-0.2
Joe Smith,89.9,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3,2.8,2.6,2.3
