Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Clarence Weatherspoon,,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1,NA,NA,NA,NA,NA
Marvin Williams,92.2,7.8,6.1,5.7,5.7,5,5,4.9,4.3,4,3.8,2.9,2.8,2.3,2.3,NA,NA,NA,NA
Amir Johnson,91.7,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA,NA,NA,NA
Nicolas Batum,91.2,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA,NA,NA,NA,NA,NA
Rudy Gay,91.2,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5,NA,NA,NA,NA,NA
Kurt Thomas,91.0,8.2,6.5,5.4,5.2,5.2,5,4.5,4.1,3.8,3.3,3.2,2.9,2.5,2.1,1.1,1.1,0.5,-0.2
Mike Dunleavy,89.8,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,1.5,0.9,0.5,NA,NA,NA
Metta World Peace,88.7,8,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3,0.3,0.1,-0.2,NA
Thaddeus Young,88.6,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1,NA,NA,NA,NA,NA,NA
Orlando Woolridge,88.4,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA,NA,NA,NA,NA
Purvis Short,88.2,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4,NA,NA,NA,NA,NA,NA
