Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gene Tormohlen,,1.4,0.8,0.1,0,0,0
Josh Harrellson,90.1,1.4,0.7,0,NA,NA,NA
Robert Sacre,84.1,1.4,0.8,0.3,-0.1,NA,NA
Rich Johnson,81.2,1.2,0.9,0.1,NA,NA,NA
Daniel Santiago,78.2,1.2,0.6,0,0,NA,NA
Hank Beenders,76.9,1.1,0.9,-0.1,NA,NA,NA
Earl Williams,72.6,1.3,1,0.4,0,NA,NA
Zendon Hamilton,72.0,1.8,1.1,0.1,0.1,0,0
Bernard James,69.7,1.2,0.5,0.1,NA,NA,NA
Robert Swift,66.3,1.1,0.7,0,-0.2,NA,NA
Granville Waiters,66.3,1.3,0.5,0.2,0,-0.2,NA
