Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Haywoode Workman,,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Jordan Clarkson,87.5,3,2.4,2.1,1.8,1.2,NA,NA,NA,NA
Anthony Bowie,87.4,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
Mike Bratz,86.3,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1
Larry Wright,84.4,3.5,2.7,1.8,1.4,1.2,0,NA,NA,NA
Gary Neal,84.1,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA
George Dempsey,84.0,3.5,2.2,2.1,1.5,1.4,NA,NA,NA,NA
Trey Burke,82.0,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA
Austin Rivers,80.3,2.5,2.4,1.9,1.5,1.2,0.6,-1.1,NA,NA
Garrett Temple,79.7,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Sam Vincent,79.2,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA
