Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Don Putman,,1.7,1.5,-0.5,-0.7
Andrew Harrison,59.7,1.7,1.6,-0.1,NA
Fred LaCour,53.5,1.7,1.7,-0.1,NA
Billy Shepherd,53.5,1.7,1.3,-0.3,NA
Quinn Cook,49.5,1.8,1.6,0.2,NA
Andrew Anderson,48.4,2.3,1.7,-0.5,NA
Rashad McCants,47.3,1.7,1.6,0.6,-0.3
Richie Regan,46.6,1.6,1.5,0.4,NA
Frank Kudelka,43.7,2.4,1.7,-0.4,NA
Steve Bracey,40.1,2.1,1.5,0.3,NA
Sidney Lowe,38.1,1.7,1.5,0.5,0.3
