Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Spencer Dinwiddie,,5.7,4.8,2.8,0.1,0.1
Malcolm Brogdon,86.5,6.5,4.1,2.7,NA,NA
Wilbur Holland,86.0,5.9,4.4,3.8,-0.1,NA
Jamal Murray,84.7,5.5,5.1,1.3,NA,NA
Chick Reiser,84.6,5.5,3.9,3.7,NA,NA
Don Carlson,80.4,5.8,2.8,2.6,0.2,NA
Josh Richardson,80.4,5.6,5.4,2.5,2.2,NA
Jim Spanarkel,79.9,5.5,5.2,1,0.4,0.2
Rudy Fernández,79.8,6.1,3.8,3,1.2,NA
Buddy Jeannette,79.0,8.2,4.9,2.6,NA,NA
Stephen Chubin,74.7,6.9,4,1.7,NA,NA
