Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Spencer Dinwiddie,,5.7,4.8,2.8,0.1,0.1
Goran Dragić,92.0,5.7,5.1,2.8,1,0.1
Malcolm Brogdon,86.5,6.5,4.1,2.7,NA,NA
Danny Green,86.1,5.9,4.5,4.2,0.2,0.1
Wilbur Holland,86.0,5.9,4.4,3.8,-0.1,NA
Jamal Murray,84.7,5.5,5.1,1.3,NA,NA
Chick Reiser,84.6,5.5,3.9,3.7,NA,NA
Jim Barnett,83.8,5.4,4.8,4.7,0.3,0
Hubert Davis,83.0,5.6,4.8,4.2,1.2,0.1
Eric Gordon,82.5,5.3,4.6,3.2,1.1,0.7
Bob Sura,81.4,5.2,4.9,1.6,0.7,0.4
