Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,SFW,NBA,C,11,NA,130,19,57,0.333,2,10,0.2,NA,NA,54,8,NA,NA,20,40
1967-68,23,SFW,NBA,C,10,NA,405,48,117,0.41,18,36,0.5,NA,NA,132,22,NA,NA,38,114
1968-69,24,SFW,NBA,PF,6,NA,129,9,33,0.273,9,11,0.818,NA,NA,43,5,NA,NA,14,27
1970-71,26,SFW,NBA,C,5,NA,93,10,24,0.417,4,8,0.5,NA,NA,37,2,NA,NA,13,24
1971-72,27,GSW,NBA,PF,5,NA,175,8,28,0.286,8,12,0.667,NA,NA,64,7,NA,NA,14,24
1972-73,28,GSW,NBA,PF,11,NA,413,48,103,0.466,21,32,0.656,NA,NA,173,16,NA,NA,43,117
1975-76,31,PHI,NBA,C,3,NA,53,4,6,0.667,6,7,0.857,4,12,16,1,0,1,15,14
Career,NA,,NBA,,51,NA,1398,146,368,0.397,68,116,0.586,4,12,519,61,0,1,157,360
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"SFW,GSW",NBA,,48,NA,1345,142,362,0.392,62,109,0.569,NA,NA,503,60,NA,NA,142,346
1 season,NA,PHI,NBA,,3,NA,53,4,6,0.667,6,7,0.857,4,12,16,1,0,1,15,14
