Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,SFW,NBA,C,1,0,18:00,2,8,0.25,2,4,0.5,NA,11,2,NA,NA,3,6
Career,NA,,NBA,,1,0,18,2,8,0.25,2,4,0.5,NA,11,2,NA,NA,3,6
