Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Clyde Lee,,6.1,5.1,3.5,3.4,3.2,3.1,2.6,2.2,2.2,2.1
Ray Scott,89.6,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3
Cliff Robinson,89.1,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3
John Johnson,88.9,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1
Sam Mitchell,88.1,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.2
Lorenzen Wright,87.8,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4
Bingo Smith,87.4,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,1.6,1.1
Tim Thomas,86.3,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,0.9
Matt Bonner,86.2,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2,1.8
Antoine Carr,86.0,5.5,5.4,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Rodney Rogers,85.6,7.4,5.4,4.7,3.9,3.3,2.9,2.3,2.3,2,1.2
