,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,SFW,NBA,,5,17,1,4,,,18,3,,,4,11
1967-68,23,SFW,NBA,,8,,3,6,,,22,,,,,19
1968-69,24,SFW,NBA,,3,9,4,5,,,10,2,,,5,7
1970-71,26,SFW,NBA,,3,,4,7,,,,,,,,8
1971-72,27,GSW,NBA,,3,,3,4,,,,,,,,6
1972-73,28,GSW,NBA,,8,13,5,8,,,21,3,,,6,21
1975-76,31,PHI,NBA,,2,2,5,5,,,9,1,,,5,9
Career,,,,,8,,5,8,,,,,,,,21
6 Seasons,,"GSW,SFW",NBA,,8,,5,8,,,,,,,,21
1 Season,,PHI,NBA,,2,2,5,5,,,9,1,,,5,9
