Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,GSW,NBA,PF,54,NA,1642,3.5,7.6,0.454,1.7,2.9,0.579,5,11,16,1.8,0.7,0.5,4.8,8.6,NA,NA,98
1974-75,30,TOT,NBA,C-PF,80,NA,2456,3.3,8.1,0.412,2.2,3.3,0.672,5.4,8.8,14.3,2,0.6,0.4,5.4,8.9,NA,NA,99
1974-75,30,ATL,NBA,PF,9,NA,177,3.1,9.2,0.333,8.2,9.9,0.821,6.1,11.7,17.9,2,0.3,1,6.4,14.3,NA,NA,98
1974-75,30,PHI,NBA,C,71,NA,2279,3.3,8,0.419,1.8,2.8,0.63,5.4,8.6,14,2,0.6,0.3,5.3,8.4,NA,NA,99
1975-76,31,PHI,NBA,C,79,NA,1421,3.9,8.9,0.436,2,3,0.663,5.2,9.1,14.2,1.9,0.7,0.8,5.9,9.7,NA,NA,98
Career,NA,,NBA,,213,NA,5519,3.5,8.1,0.432,2,3.1,0.614,5.2,9.6,14.8,1.9,0.7,0.5,5.3,9,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,150,NA,3700,3.5,8.3,0.426,1.9,2.9,0.644,5.3,8.8,14.1,1.9,0.6,0.5,5.5,8.9,NA,NA,99
8 seasons,NA,"SFW,GSW",NBA,,54,NA,1642,3.5,7.6,0.434,1.7,2.9,0.605,5,11,16,1.8,0.7,0.5,4.8,8.6,NA,NA,98
1 season,NA,ATL,NBA,,9,NA,177,3.1,9.2,0.333,8.2,9.9,0.821,6.1,11.7,17.9,2,0.3,1,6.4,14.3,NA,NA,98
