Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Serge Ibaka,,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.7
Tom Chambers,93.8,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.3,3.3
Shane Battier,92.7,9.1,9,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.3
Andrei Kirilenko,89.7,11.6,9.2,7.9,7.3,7.1,6,5.5,4.6,4.5,4.4
Mark Aguirre,89.6,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,1.9
Rudy LaRusso,88.9,8.8,8.6,7.3,7,6.9,6.3,5.5,5.4,3.9,1.7
Maurice Lucas,88.8,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,3.5,2.4
Charles Oakley,88.8,10.5,7.3,6.7,6.2,6,5.7,5.7,4.5,3.5,3.3
P.J. Brown,88.7,10.2,8.2,8,7.5,7.5,6.9,5.3,5.1,4.6,4.2
Hot Rod Williams,88.2,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.8,2.4
John Drew,88.1,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3
