Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Serge Ibaka,,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.7,NA,NA,NA,NA,NA
Derrick Coleman,90.1,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2
Happy Hairston,89.9,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4,NA,NA,NA,NA
Rudy LaRusso,88.9,8.8,8.6,7.3,7,6.9,6.3,5.5,5.4,3.9,1.7,NA,NA,NA,NA,NA
Hot Rod Williams,87.6,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,NA,NA
John Drew,87.5,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7,NA,NA,NA,NA
Dan Roundfield,87.4,9.1,8.7,7.4,7.1,7,6.9,6.5,5.1,3.9,2.7,1.3,0.6,NA,NA,NA
Larry Johnson,86.7,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA,NA,NA,NA,NA
Steve Mix,86.5,9.4,8.2,6.5,5.5,5.5,5.1,5.1,4.9,3.7,2.4,1.3,0.4,-0.3,NA,NA
Mark Aguirre,86.2,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9,1.8,0.9,NA,NA
Jamaal Wilkes,86.2,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9,0,NA,NA,NA
