Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Art Long,,1.4,-0.1,-0.3
Georges Niang,88.3,1.3,0,-0.3
Mike Maloy,81.6,1.3,-0.1,-0.3
Howie Jolliff,70.4,1.2,-0.2,-0.3
John Rudometkin,69.4,1.6,-0.1,-0.5
LeRon Ellis,68.7,1.6,-0.1,-0.2
Larry Demic,61.3,1.6,-0.1,-0.1
Damjan Rudež,57.6,1.3,0.1,0.1
Damian Jones,54.1,1.5,0.1,0
Jeffery Taylor,48.9,1.2,0.3,-0.2
Perry Jones,48.4,1.5,0.2,0
