,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,28,SAC,NBA,SF,9,20,.000,8.5,1.000,.250,.500,.000,.250,.000,.000,.000,.000,,.000,,,.250,0,,,,0,0
2001-02,29,SEA,NBA,PF,63,989,.492,4.3,1.000,.533,.299,.139,.029,.000,.492,.615,.384,.324,.143,,.642,.160,32,,,,0,0
2002-03,30,TOT,NBA,SF,26,211,.373,7.6,.960,.413,.240,.133,.173,.040,.361,.484,.222,.400,.231,.667,.692,.040,3,.500,.000,,0,0
2002-03,30,PHI,NBA,SF,19,131,.380,6.9,.980,.460,.200,.180,.140,.020,.367,.478,.300,.333,.143,1.000,.722,.040,2,.000,.000,,0,0
2002-03,30,TOR,NBA,SF,7,80,.360,9.1,.920,.320,.320,.040,.240,.080,.348,.500,.125,1.000,.333,.500,.625,.040,1,1.000,.000,,0,0
Career,,,NBA,,98,1220,.458,5.1,.991,.502,.288,.136,.065,.009,.456,.586,.344,.341,.190,.667,.651,.133,35,.500,.000,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,SEA,NBA,,63,989,.492,4.3,1.000,.533,.299,.139,.029,.000,.492,.615,.384,.324,.143,,.642,.160,32,,,,0,0
1 season,,PHI,NBA,,19,131,.380,6.9,.980,.460,.200,.180,.140,.020,.367,.478,.300,.333,.143,1.000,.722,.040,2,.000,.000,,0,0
1 season,,SAC,NBA,,9,20,.000,8.5,1.000,.250,.500,.000,.250,.000,.000,.000,.000,,.000,,,.250,0,,,,0,0
1 season,,TOR,NBA,,7,80,.360,9.1,.920,.320,.320,.040,.240,.080,.348,.500,.125,1.000,.333,.500,.625,.040,1,1.000,.000,,0,0
