Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lee Mayberry,,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,NA
Med Park,87.8,1.9,1.9,1.8,1.6,0.4,NA,NA,NA
Jerry Fleishman,85.1,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Gordan Giriček,84.1,2.4,1.9,1.8,1.6,0.5,-0.2,NA,NA
Dion Waiters,79.1,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Joe Hassett,78.6,2,1.6,1.4,0.9,0.5,0,NA,NA
Juan Dixon,77.8,2,1.7,1.4,1.2,0.4,0.1,-0.5,NA
Brian Roberts,77.7,2.2,2.2,1.8,1,0.2,NA,NA,NA
Dave Wohl,77.7,2.1,1.7,1.4,1,0.2,0,-0.2,NA
Em Bryant,76.3,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7
Will Bynum,75.8,1.9,1.7,1.5,1.3,1,-0.1,-0.2,-0.2
