Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lee Mayberry,,2.1,1.8,1.6,1.6,0.4,0.4,-0.1
Med Park,87.8,1.9,1.9,1.8,1.6,0.4,NA,NA
Jerry Fleishman,85.1,2.2,2.1,1.6,1.3,0.6,NA,NA
Keyon Dooling,84.8,2.1,1.5,1.4,1.1,0.3,0.3,0
Al Bianchi,84.2,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Gordan Giriček,84.1,2.4,1.9,1.8,1.6,0.5,-0.2,NA
Em Bryant,81.8,2.1,2,1.9,1.7,0.5,0.1,-0.7
Randy Brown,79.7,2.4,1.9,1.8,1.6,1.5,0.4,0.3
Dion Waiters,79.1,2.1,1.6,1.6,1.2,1.1,0.9,0.1
Joe Hassett,78.6,2,1.6,1.4,0.9,0.5,0,NA
Juan Dixon,77.8,2,1.7,1.4,1.2,0.4,0.1,-0.5
