Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Paul Graham,,3.6,1.9,0.2,NA,NA,NA,NA
Reggie Williams,85.4,3.7,1.7,0.3,0.3,0.2,0.2,0
Juan Hernangómez,85.2,3,1.8,0.4,NA,NA,NA,NA
Dorian Finney-Smith,83.1,3.3,1.4,0.1,NA,NA,NA,NA
Willie Long,80.2,3.5,2.1,1.2,NA,NA,NA,NA
Willie Reed,79.2,3.6,1.5,1.2,NA,NA,NA,NA
Dave Lattin,79.0,3.2,2,0.6,0.4,0.2,NA,NA
Cheick Diallo,77.3,2.6,1.9,0.5,NA,NA,NA,NA
Harthorne Wingo,76.7,3.9,1.4,0.9,0,NA,NA,NA
Don Boven,75.8,3.8,2.2,1.5,NA,NA,NA,NA
Stanislav Medvedenko,74.9,3,1.8,0.5,0.4,0.2,0.1,0
