Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brent Barry,,12.1,7.5,7.3,6.8,6.1,5.8,5.7,4.9,4.3,2.7,2.3,2.1,1.6,1.5
Richie Guerin,91.7,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7,1.2,-0.1,NA
Gail Goodrich,90.7,12.3,8.1,7.8,6.7,6.4,6.3,6.3,5.5,5.1,4.4,3.6,2.2,1.2,0.7
Dave Bing,90.5,11.7,8.6,7.3,6.3,6.2,5.3,5.3,5.3,4.5,3.6,2.9,1.7,NA,NA
Byron Scott,90.3,10.7,7.7,6.9,6.8,6.6,6,6,5.2,4.1,3.9,3.3,3.1,2.7,2.3
Reggie Theus,87.0,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,NA
Dale Ellis,86.6,10.8,9.3,9,7.6,6.4,6.4,6.2,4.8,3.4,3.2,3.1,2.4,1.6,1.5
Kenny Anderson,86.4,12.4,7.7,7.5,7.3,6.8,5.2,4.4,3.7,2.4,1.6,1.5,1.1,0.5,0.2
Doc Rivers,86.3,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,2.2,2,1.5,NA
World B. Free,86.0,10.1,8,7.4,6.9,6.1,6,6,5.7,5.3,4.6,1.5,0.4,-0.2,NA
Ron Harper,86.0,10.2,7.2,6.3,6,5.7,5.6,4.2,4,3.9,3.5,2.9,2.4,1.2,0.9
