Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Chris Carr,,1.7,1.1,0.9,0.3,0.2,-0.3
Anthony Johnson,84.8,1.8,1.1,0.7,0.4,0.3,-0.2
Mo Layton,79.5,1.9,1.1,1,0.3,0.1,NA
John Warren,77.8,1.7,0.9,0.8,0.5,0.3,NA
Keyon Dooling,77.7,1.5,1.4,1.1,0.3,0.3,0
Gerald Green,76.7,1.6,1.3,1.2,0.5,0,-0.4
Troy Daniels,76.5,1.4,1.3,1.1,0.3,0.2,0.2
Raul Neto,75.6,1.8,1.1,0.9,0.7,NA,NA
Mike Holton,75.3,2.3,1.3,0.8,0.3,0.2,-0.2
Corky Devlin,74.7,1.8,1.2,0.8,NA,NA,NA
A.J. Price,74.7,2.2,1.2,0.7,0.3,0.3,0
