Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris Carr,,1.7,1.1,0.9,0.3,0.2,-0.3,NA
Mo Layton,79.5,1.9,1.1,1,0.3,0.1,NA,NA
John Warren,77.8,1.7,0.9,0.8,0.5,0.3,NA,NA
Troy Daniels,76.5,1.4,1.3,1.1,0.3,0.2,0.2,NA
Raul Neto,75.6,1.8,1.1,0.9,0.7,NA,NA,NA
Mike Holton,75.3,2.3,1.3,0.8,0.3,0.2,-0.2,NA
Corky Devlin,74.7,1.8,1.2,0.8,NA,NA,NA,NA
A.J. Price,74.7,2.2,1.2,0.7,0.3,0.3,0,NA
Steve Henson,74.2,1.2,1.1,1,0.2,0.1,0,0
Antoine Wright,73.8,1.4,1.2,0.8,0.3,-0.1,-0.5,NA
Justin Anderson,73.4,1.9,1.2,1.1,0.4,NA,NA,NA
