,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,PHI,NBA,,2,3,0,0,,,2,2,,,1,4
1969-70,27,CHI,NBA,,8,17,4,5,,,2,9,,,3,16
1970-71,28,CHI,NBA,,10,18,7,7,,,5,13,,,5,25
1971-72,29,CHI,NBA,,8,18,3,4,,,4,4,,,6,17
1972-73,30,CHI,NBA,,8,18,4,7,,,4,5,,,5,18
1973-74,31,CHI,NBA,,7,15,2,2,,,4,5,,,4,14
1974-75,32,BUF,NBA,,5,6,4,5,,,2,7,,,3,11
1975-76,33,BUF,NBA,,2,3,2,3,,,3,2,,,4,6
1976-77,34,WSB,NBA,,2,3,0,1,1,2,2,1,,,2,4
Career,,,,,10,18,7,7,,,5,13,,,6,25
5 Seasons,,CHI,NBA,,10,18,7,7,,,5,13,,,6,25
2 Seasons,,BUF,NBA,,5,6,4,5,,,3,7,,,4,11
1 Season,,WSB,NBA,,2,3,0,1,1,2,2,1,,,2,4
1 Season,,PHI,NBA,,2,3,0,0,,,2,2,,,1,4
