Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,24,PHI,NBA,PG,1,NA,4,2,3,0.667,0,0,NA,NA,NA,2,2,NA,NA,1,4
1969-70,27,CHI,NBA,PG,5,NA,24.2,5,11.8,0.424,1.6,2,0.8,NA,NA,1.2,4.8,NA,NA,2.2,11.6
1970-71,28,CHI,NBA,PG,7,NA,35.7,6,13.1,0.457,3.7,4.3,0.867,NA,NA,2.6,8.1,NA,NA,2.7,15.7
1971-72,29,CHI,NBA,PG,4,NA,29.8,6,12.3,0.49,1.8,2,0.875,NA,NA,3.3,3,NA,NA,3.8,13.8
1972-73,30,CHI,NBA,PG,7,NA,25,4.9,11.3,0.43,2.3,3,0.762,NA,NA,2.3,2.1,NA,NA,2.9,12
1973-74,31,CHI,NBA,SG,11,NA,22.8,2.1,6.7,0.311,0.5,0.5,1,0.5,1.4,1.8,2.9,0.6,0.1,1.8,4.7
1974-75,32,BUF,NBA,PG,7,NA,16.1,1.6,3.3,0.478,1.1,1.7,0.667,0.3,0.7,1,2.4,0.6,0.1,2.1,4.3
1975-76,33,BUF,NBA,PG,7,NA,5.1,0.4,1.1,0.375,0.3,0.4,0.667,0,0.6,0.6,0.4,0.3,0,0.7,1.1
1976-77,34,WSB,NBA,PG,4,NA,8.5,0.8,1.3,0.6,0,0.3,0,0.3,0.5,0.8,0.5,0.3,0,1.3,1.5
Career,NA,,NBA,,53,NA,20.8,3.2,7.4,0.426,1.4,1.7,0.802,0.3,0.9,1.7,3.1,0.5,0.1,2.1,7.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CHI,NBA,,34,NA,26.9,4.4,10.4,0.419,1.9,2.2,0.84,0.5,1.4,2.1,4.1,0.6,0.1,2.5,10.6
2 seasons,NA,BUF,NBA,,14,NA,10.6,1,2.2,0.452,0.7,1.1,0.667,0.1,0.6,0.8,1.4,0.4,0.1,1.4,2.7
1 season,NA,WSB,NBA,,4,NA,8.5,0.8,1.3,0.6,0,0.3,0,0.3,0.5,0.8,0.5,0.3,0,1.3,1.5
1 season,NA,PHI,NBA,,1,NA,4,2,3,0.667,0,0,NA,NA,NA,2,2,NA,NA,1,4
