Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,24,PHI,NBA,PG,1,4,46.5,0.667,0,NA,NA,NA,100,NA,NA,NA,0,0,0.1,0.624,NA,NA,NA,NA,NA
1969-70,27,CHI,NBA,PG,5,121,13.7,0.457,0.169,NA,NA,NA,27.3,NA,NA,NA,0,0.1,0.1,0.037,NA,NA,NA,NA,NA
1970-71,28,CHI,NBA,PG,7,250,17.4,0.523,0.326,NA,NA,3.6,32.1,NA,NA,NA,0.5,0.1,0.7,0.126,NA,NA,NA,NA,NA
1971-72,29,CHI,NBA,PG,4,119,14,0.524,0.163,NA,NA,5.2,15,NA,NA,NA,0.2,0.1,0.3,0.105,NA,NA,NA,NA,NA
1972-73,30,CHI,NBA,PG,7,175,13.5,0.476,0.266,NA,NA,4.1,13.5,NA,NA,NA,0.1,0.2,0.4,0.097,NA,NA,NA,NA,NA
1973-74,31,CHI,NBA,SG,11,251,7.2,0.339,0.081,1.9,7.1,4.2,18.4,1.4,0.2,NA,-0.3,0,-0.4,-0.069,NA,-4.6,-0.6,-5.1,-0.2
1974-75,32,BUF,NBA,PG,7,113,10.7,0.53,0.522,1.8,4.9,3.3,19.6,1.6,0.5,NA,0.1,0,0.1,0.04,NA,-1.5,-0.1,-1.6,0
1975-76,33,BUF,NBA,PG,7,36,7.2,0.429,0.375,0,11.5,6,10.8,2.6,0,NA,0,0,0,-0.001,NA,-5.8,1.5,-4.3,0
1976-77,34,WSB,NBA,PG,4,34,6.2,0.551,0.2,3.2,6,4.6,7.7,1.4,0,NA,0,0,0,0.056,NA,-4.1,1.3,-2.8,0
Career,NA,,NBA,,53,1103,12.4,0.471,0.232,1.8,6.8,4.1,21.2,1.5,0.3,NA,0.6,0.5,1.2,0.052,NA,-3.8,-0.1,-4,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CHI,NBA,,34,916,12.9,0.465,0.212,1.9,7.1,4.2,21.9,1.4,0.2,NA,0.5,0.5,1,0.052,NA,-4.6,-0.6,-5.1,-0.2
2 seasons,NA,BUF,NBA,,14,149,9.9,0.505,0.484,1.4,6.5,3.9,17.5,1.8,0.4,NA,0,0.1,0.1,0.03,NA,-2.6,0.3,-2.2,0
1 season,NA,WSB,NBA,,4,34,6.2,0.551,0.2,3.2,6,4.6,7.7,1.4,0,NA,0,0,0,0.056,NA,-4.1,1.3,-2.8,0
1 season,NA,PHI,NBA,,1,4,46.5,0.667,0,NA,NA,NA,100,NA,NA,NA,0,0,0.1,0.624,NA,NA,NA,NA,NA
