,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23,PHI,NBA,,1,2,0,0,,,2,2,,,4,2
1966-67,24,PHI,NBA,,3,,1,2,,,,,,,,6
1967-68,25,SEA,NBA,,12,,11,14,,,,,,,,30
1968-69,26,TOT,NBA,,8,,7,10,,,,,,,,19
1968-69,26,MIL,NBA,,7,,7,9,,,,,,,,19
1968-69,26,CHI,NBA,,8,19,6,10,,,9,10,,,5,19
1969-70,27,CHI,NBA,,11,24,12,13,,,7,14,,,5,30
1970-71,28,CHI,NBA,,10,19,9,11,,,8,12,,,6,25
1971-72,29,CHI,NBA,,12,,11,12,,,,,,,,30
1972-73,30,CHI,NBA,,10,18,7,10,,,7,9,,,6,24
1973-74,31,CHI,NBA,,9,,8,9,,,,,,,,24
1974-75,32,BUF,NBA,,6,,4,6,,,,,,,,14
1975-76,33,BUF,NBA,,6,,5,6,,,,,,,,17
1976-77,34,WSB,NBA,,5,,4,4,,,,,,,,10
Career,,,,,12,,12,14,,,,,,,,30
6 Seasons,,CHI,NBA,,12,,12,13,,,,,,,,30
2 Seasons,,BUF,NBA,,6,,5,6,,,,,,,,17
1 Season,,SEA,NBA,,12,,11,14,,,,,,,,30
1 Season,,WSB,NBA,,5,,4,4,,,,,,,,10
1 Season,,MIL,NBA,,7,,7,9,,,,,,,,19
2 Seasons,,PHI,NBA,,3,,1,2,,,,,,,,6
