Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Charles Bradley,,0.2,0.2,-0.1
Corey Gaines,62.9,0.3,0.2,-0.1
Dave Jamerson,60.2,0.2,0.1,-0.1
Xavier Henry,57.8,0.2,0.2,0
Paul Long,52.6,0.3,0.2,-0.2
Russ Lee,49.8,0.3,0.2,0
Kevin Pritchard,49.3,0.2,0.2,-0.2
Demetrius Jackson,48.5,0.2,0.1,-0.1
Jimmy Oliver,46.7,0.2,0.2,-0.1
Brad Holland,44.7,0.3,0.1,-0.1
Rusty LaRue,44.1,0.3,0.1,-0.1
