Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Charles Bradley,,0.2,0.2,-0.1
Dave Jamerson,60.2,0.2,0.1,-0.1
Russ Lee,49.8,0.3,0.2,0
Demetrius Jackson,48.5,0.2,0.1,-0.1
Brad Holland,44.7,0.3,0.1,-0.1
Corey Beck,39.1,0.4,0.2,-0.1
Gary Payton,37.9,0.2,0.1,-0.2
Briante Weber,35.5,0.4,0.3,0
Billy Thomas,35.3,0.4,0.2,-0.1
Mike Price,32.1,0.2,0.2,0.1
A.J. Guyton,29.3,0.3,0.1,-0.1
