Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jeremy Evans,,2.8,1.6,1.3,0.9,0.9,0.6,0
Marty Conlon,87.7,3.1,1.8,1.4,1,0.8,0.6,0.3
Charles Shackleford,87.1,2.7,1.5,0.9,0.8,0.8,0.7,NA
Quincy Acy,85.2,2.5,1.7,1.5,1.1,1,0.9,-0.1
Wesley Johnson,85.2,2.6,1.9,1.7,1.3,0.9,0.6,0
Mark Madsen,85.0,2.7,1.9,1.1,1.1,0.8,0.6,0.4
Scott Hastings,83.9,2.1,1.5,1.3,1,0.8,0.4,0.1
Damien Wilkins,82.2,2.8,1.9,1.7,1.5,1,1,0
Sam Mack,81.2,2.8,1.9,1.3,1.1,0.3,0,-0.1
Ike Diogu,79.5,2.6,1.5,1,0.7,0.7,0,NA
Richard Anderson,79.4,2.3,2.1,1.3,1,0.5,0.5,NA
