,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2010-11,23,UTA,NBA,SF,49,463,,13%,62%,26%,,-3.0,-1.1,6,3,27,5,16,2,55,3,7
2011-12,24,UTA,NBA,SF,29,217,,7%,36%,57%,,-10.4,-11.8,3,1,17,0,7,1,29,0,2
2012-13,25,UTA,NBA,PF,37,215,,,12%,88%,1%,+4.4,+4.8,2,4,17,1,11,4,26,3,1
2013-14,26,UTA,NBA,SF,66,1209,,2%,51%,48%,,-6.6,+2.0,19,8,65,9,32,9,100,11,23
2014-15,27,UTA,NBA,SF,38,266,,8%,50%,43%,,+7.1,+7.4,1,1,16,2,15,0,34,5,4
2015-16,28,DAL,NBA,SF,30,251,,2%,53%,43%,3%,-4.6,-4.7,3,2,12,1,8,1,4,3,2
2017-18,30,ATL,NBA,SF,1,5,,,100%,,,-45.5,-39.6,1,0,1,0,0,0,0,0,0
Career,,,NBA,,250,2626,,5%,48%,47%,,-3.9,+0.3,35,19,155,18,89,17,248,25,39
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,219,2370,,5%,48%,47%,,-3.7,+1.0,31,17,142,17,81,16,244,22,37
1 season,,DAL,NBA,,30,251,,2%,53%,43%,3%,-4.6,-4.7,3,2,12,1,8,1,4,3,2
1 season,,ATL,NBA,,1,5,,,100%,,,-45.5,-39.6,1,0,1,0,0,0,0,0,0
