Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jeff McInnis,,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Josh Childress,85.2,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA,NA
Eric Murdock,84.8,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA,NA
Anthony Parker,84.4,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA,NA
Mike James,84.0,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1
Larry Brown,83.4,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA,NA
Gene Littles,82.1,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA
Lewis Lloyd,81.6,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA
Mahmoud Abdul-Rauf,81.2,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA,NA
Dick Garmaker,80.7,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA,NA
Andrew Toney,80.7,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA,NA
