Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kirk Snyder,,2.2,1.4,1.1,-0.2
Kenny Higgs,88.4,2.2,1.5,1,NA
Johnny High,88.0,2.5,1.2,1.1,-0.1
Steven Kramer,83.2,1.9,1.2,1.1,NA
David Nwaba,83.1,2.4,1.4,0.8,NA
Courtney Alexander,82.2,2.2,1.1,0.8,NA
Dirk Minniefield,81.8,1.9,1.1,1.1,NA
Shane Larkin,78.4,1.7,1.4,1.4,-0.1
Bo Lamar,78.0,2.5,1.5,1,0.5
Mike Davis,77.6,2.2,1.2,0.9,0.6
Maurice McHartley,77.3,2.4,1.8,0.8,NA
