Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Doug McDermott,,2.9,2.8,2.6,2.3,0
Charles Jones,92.5,3.2,2.8,2.2,2.2,0
Lew Hitch,89.5,3.3,2.7,2.2,2.2,NA
Chuck Cooper,85.5,3.3,3.1,2.4,1.7,0
Greg Anderson,84.5,3.4,3,2.3,2,-0.3
James Ennis,84.4,3.1,3.1,2.6,1.9,0.9
Nick Weatherspoon,82.9,3.6,2.6,2.4,2.1,0.6
Fred Roberts,82.7,3,2.6,1.9,1.8,0.2
Maurice Harkless,82.2,4.2,2.9,2.8,2.4,0.3
Tom Hawkins,82.0,3.2,2.9,2.3,2.1,1.2
Mike Scott,82.0,3.2,2.7,2.6,0.9,-0.1
