Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Doug McDermott,,2.9,2.8,2.6,2.3,0,NA
James Ennis,84.4,3.1,3.1,2.6,1.9,0.9,NA
Don Barksdale,80.8,3.1,2.3,2.2,1.5,NA,NA
Frank Kaminsky,80.8,3.6,3.3,2.3,1.8,NA,NA
Lew Hitch,80.4,3.3,2.7,2.2,2.2,1.2,NA
E.C. Coleman,80.1,3.2,2.7,2.6,2.5,1.7,0.1
Reggie Johnson,79.1,3.9,3,2.4,1.6,NA,NA
Frank Card,78.9,4.2,2.6,2.4,1.9,0.1,NA
Chuck Cooper,77.4,3.3,3.1,2.4,1.7,1.1,0
Derrek Dickey,77.4,3.8,3.1,2.3,1.7,0.3,NA
Eddie Griffin,77.1,3.9,3.2,2.4,1.5,-0.2,NA
