Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1956-57,25,STL,NBA,SF,10,319,19.7,0.498,NA,0.441,NA,NA,NA,15.1,NA,NA,NA,0.8,0.1,1,0.144
1957-58,26,STL,NBA,SF,11,418,27.5,0.576,NA,0.448,NA,NA,NA,16.4,NA,NA,NA,2.6,0.1,2.7,0.312
1958-59,27,STL,NBA,SF,6,259,26.2,0.583,NA,0.439,NA,NA,NA,11.1,NA,NA,NA,1.3,0.3,1.6,0.298
1959-60,28,STL,NBA,SF,14,544,19.5,0.493,NA,0.368,NA,NA,NA,16.7,NA,NA,NA,1.4,0.1,1.5,0.135
1960-61,29,STL,NBA,SF,12,455,19.3,0.497,NA,0.294,NA,NA,NA,17.9,NA,NA,NA,1,0.4,1.4,0.149
1962-63,31,STL,NBA,SF,11,255,22.4,0.502,NA,0.296,NA,NA,NA,23.9,NA,NA,NA,0.5,0.4,0.9,0.168
1963-64,32,STL,NBA,SF,12,392,17.6,0.491,NA,0.309,NA,NA,NA,22.6,NA,NA,NA,0.6,0.2,0.8,0.099
1964-65,33,STL,NBA,SF,4,123,15.8,0.461,NA,0.16,NA,NA,NA,9.8,NA,NA,NA,0,0.2,0.2,0.082
1965-66,34,STL,NBA,SF,10,200,16.6,0.519,NA,0.278,NA,NA,NA,13.2,NA,NA,NA,0.4,0.1,0.5,0.113
1967-68,36,DLC,ABA,SF,3,70,11.8,0.433,0,0.351,NA,NA,8.4,20.2,17.4,27.5,NA,-0.1,0.1,0,0.026
1968-69,37,DLC,ABA,SF,2,45,19.5,0.489,0,0.714,NA,NA,5.9,39.5,14,17.6,NA,0,0.1,0.1,0.098
Career,NA,,TOT,,95,3080,20.6,0.513,0,0.353,NA,NA,7.4,17.5,16.4,23.7,NA,8.7,2.1,10.7,0.167
,NA,,NBA,,90,2965,20.8,0.515,NA,0.35,NA,NA,NA,17.1,NA,NA,NA,8.7,1.9,10.6,0.172
,NA,,ABA,,5,115,14.9,0.45,0,0.451,NA,NA,7.4,27.8,16.4,23.7,NA,0,0.1,0.1,0.054
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,STL,NBA,,90,2965,20.8,0.515,NA,0.35,NA,NA,NA,17.1,NA,NA,NA,8.7,1.9,10.6,0.172
2 seasons,NA,DLC,ABA,,5,115,14.9,0.45,0,0.451,NA,NA,7.4,27.8,16.4,23.7,NA,0,0.1,0.1,0.054
