,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,,11,22,,,,,11,15,,,,,,6,28
1957-58,26,STL,NBA,,17,30,,,,,17,18,,,,,,6,38
1958-59,27,STL,NBA,,16,26,,,,,12,13,,,,,,5,40
1959-60,28,STL,NBA,,13,30,,,,,12,16,,,,,,6,36
1960-61,29,STL,NBA,,16,28,,,,,9,10,,,17,,,6,40
1962-63,31,STL,NBA,,15,26,,,,,12,16,,,14,,,6,34
1963-64,32,STL,NBA,,12,,,,,,6,8,,,,,,5,29
1964-65,33,STL,NBA,,10,23,,,,,4,8,,,8,3,,5,24
1965-66,34,STL,NBA,,11,22,,,,,7,8,,,9,4,,3,29
1967-68,36,DLC,ABA,,5,,0,,,,3,5,,,,,,,13
1968-69,37,DLC,ABA,,5,,0,,,,7,9,,,,,,,17
Career,,,TOT,,17,,,,,,17,18,,,,,,,40
,,,NBA,,17,,,,,,17,18,,,,,,6,40
,,,ABA,,5,,0,,,,7,9,,,,,,,17
,,,,,,,,,,,,,,,,,,,
9 Seasons,,STL,NBA,,17,,,,,,17,18,,,,,,6,40
2 Seasons,,DLC,ABA,,5,,0,,,,7,9,,,,,,,17
