Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,SF,10,NA,319,7,16.1,0.434,NA,NA,NA,7,16.1,0.434,5.2,7.1,0.73,NA,NA,12.6,3.2,NA,5.3,19.2
1957-58,26,STL,NBA,SF,11,NA,418,9.6,19,0.502,NA,NA,NA,9.6,19,0.502,7.1,8.5,0.838,NA,NA,9.9,3.2,NA,4.1,26.3
1958-59,27,STL,NBA,SF,6,NA,259,8.8,17.1,0.512,NA,NA,NA,8.8,17.1,0.512,6.3,7.5,0.833,NA,NA,10,2.2,NA,2.9,23.8
1959-60,28,STL,NBA,SF,14,NA,544,8.3,19.6,0.422,NA,NA,NA,8.3,19.6,0.422,5.9,7.2,0.817,NA,NA,9.1,3.6,NA,3.6,22.4
1960-61,29,STL,NBA,SF,12,NA,455,8.2,18.6,0.443,NA,NA,NA,8.2,18.6,0.443,4.4,5.5,0.812,NA,NA,9.3,4.3,NA,3.6,20.9
1962-63,31,STL,NBA,SF,11,NA,255,11.7,25.3,0.464,NA,NA,NA,11.7,25.3,0.464,5.2,7.5,0.698,NA,NA,7.8,4.8,NA,5.9,28.7
1963-64,32,STL,NBA,SF,12,NA,392,6.9,16.1,0.429,NA,NA,NA,6.9,16.1,0.429,4.1,5,0.833,NA,NA,6.8,5.2,NA,3.1,17.9
1964-65,33,STL,NBA,SF,4,NA,123,10,22,0.453,NA,NA,NA,10,22,0.453,1.8,3.5,0.5,NA,NA,7.6,2,NA,4.1,21.7
1965-66,34,STL,NBA,SF,10,NA,200,7.9,17.5,0.454,NA,NA,NA,7.9,17.5,0.454,4.5,4.9,0.926,NA,NA,6.1,3.2,NA,2.7,20.3
1967-68,36,DLC,ABA,SF,3,NA,70,7.2,19,0.378,0,0,NA,7.2,19,0.378,4.6,6.7,0.692,NA,NA,6.7,4.6,4.6,5.7,19
1968-69,37,DLC,ABA,SF,2,NA,45,4,11.2,0.357,0,0,NA,4,11.2,0.357,6.4,8,0.8,NA,NA,4.8,11.2,2.4,4,14.4
Career,NA,,TOT,,95,NA,3080,8.4,18.6,0.451,0,0,NA,8.4,18.6,0.451,5.2,6.6,0.798,NA,NA,8.9,3.8,3.8,3.9,22.1
,NA,,NBA,,90,NA,2965,8.5,18.7,0.454,NA,NA,NA,8.5,18.7,0.454,5.2,6.6,0.8,NA,NA,9,3.7,NA,3.9,22.3
,NA,,ABA,,5,NA,115,5.9,16,0.373,0,0,NA,5.9,16,0.373,5.3,7.2,0.739,NA,NA,5.9,7.2,3.8,5,17.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,STL,NBA,,90,NA,2965,8.5,18.7,0.454,NA,NA,NA,8.5,18.7,0.454,5.2,6.6,0.8,NA,NA,9,3.7,NA,3.9,22.3
2 seasons,NA,DLC,ABA,,5,NA,115,5.9,16,0.373,0,0,NA,5.9,16,0.373,5.3,7.2,0.739,NA,NA,5.9,7.2,3.8,5,17.2
