Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,SF,10,NA,319,62,143,0.434,NA,NA,NA,62,143,0.434,0.434,46,63,0.73,NA,NA,112,28,NA,47,170
1957-58,26,STL,NBA,SF,11,NA,418,111,221,0.502,NA,NA,NA,111,221,0.502,0.502,83,99,0.838,NA,NA,115,37,NA,48,305
1958-59,27,STL,NBA,SF,6,NA,259,63,123,0.512,NA,NA,NA,63,123,0.512,0.512,45,54,0.833,NA,NA,72,16,NA,21,171
1959-60,28,STL,NBA,SF,14,NA,544,125,296,0.422,NA,NA,NA,125,296,0.422,0.422,89,109,0.817,NA,NA,138,54,NA,54,339
1960-61,29,STL,NBA,SF,12,NA,455,104,235,0.443,NA,NA,NA,104,235,0.443,0.443,56,69,0.812,NA,NA,118,54,NA,45,264
1962-63,31,STL,NBA,SF,11,NA,255,83,179,0.464,NA,NA,NA,83,179,0.464,0.464,37,53,0.698,NA,NA,55,34,NA,42,203
1963-64,32,STL,NBA,SF,12,NA,392,75,175,0.429,NA,NA,NA,75,175,0.429,0.429,45,54,0.833,NA,NA,74,57,NA,34,195
1964-65,33,STL,NBA,SF,4,NA,123,34,75,0.453,NA,NA,NA,34,75,0.453,0.453,6,12,0.5,NA,NA,26,7,NA,14,74
1965-66,34,STL,NBA,SF,10,NA,200,44,97,0.454,NA,NA,NA,44,97,0.454,0.454,25,27,0.926,NA,NA,34,18,NA,15,113
1967-68,36,DLC,ABA,SF,3,NA,70,14,37,0.378,0,0,NA,14,37,0.378,0.378,9,13,0.692,NA,NA,13,9,9,11,37
1968-69,37,DLC,ABA,SF,2,NA,45,5,14,0.357,0,0,NA,5,14,0.357,0.357,8,10,0.8,NA,NA,6,14,3,5,18
Career,NA,,TOT,,95,NA,3080,720,1595,0.451,0,0,NA,720,1595,0.451,0.451,449,563,0.798,NA,NA,763,328,12,336,1889
,NA,,NBA,,90,NA,2965,701,1544,0.454,NA,NA,NA,701,1544,0.454,0.454,432,540,0.8,NA,NA,744,305,NA,320,1834
,NA,,ABA,,5,NA,115,19,51,0.373,0,0,NA,19,51,0.373,0.373,17,23,0.739,NA,NA,19,23,12,16,55
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,STL,NBA,,90,NA,2965,701,1544,0.454,NA,NA,NA,701,1544,0.454,0.454,432,540,0.8,NA,NA,744,305,NA,320,1834
2 seasons,NA,DLC,ABA,,5,NA,115,19,51,0.373,0,0,NA,19,51,0.373,0.373,17,23,0.739,NA,NA,19,23,12,16,55
