Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1956-57,25,STL,NBA,SF,67,971,12.2,0.423,NA,0.391,NA,NA,NA,NA,NA,NA,NA,0.3,1,1.3,0.065
1957-58,26,STL,NBA,SF,70,2190,22.6,0.513,NA,0.441,NA,NA,NA,NA,NA,NA,NA,7.7,2.4,10,0.22
1958-59,27,STL,NBA,SF,72,2702,22.7,0.516,NA,0.378,NA,NA,NA,NA,NA,NA,NA,9,2.8,11.7,0.209
1959-60,28,STL,NBA,SF,75,2798,22,0.522,NA,0.338,NA,NA,NA,NA,NA,NA,NA,9.3,2.5,11.8,0.203
1960-61,29,STL,NBA,SF,77,2701,20.1,0.503,NA,0.313,NA,NA,NA,NA,NA,NA,NA,6.4,4.4,10.8,0.193
1961-62,30,STL,NBA,SF,77,2784,19.3,0.524,NA,0.295,NA,NA,NA,NA,NA,NA,NA,7.3,1.2,8.5,0.146
1962-63,31,STL,NBA,SF,79,1716,21.2,0.515,NA,0.289,NA,NA,NA,NA,NA,NA,NA,4.1,2.4,6.5,0.183
1963-64,32,STL,NBA,SF,77,2279,16.9,0.496,NA,0.259,NA,NA,NA,NA,NA,NA,NA,3.8,2.1,6,0.126
1964-65,33,STL,NBA,SF,77,1739,16.5,0.491,NA,0.297,NA,NA,NA,12.5,NA,NA,NA,2.9,1.8,4.7,0.129
1965-66,34,STL,NBA,SF,74,1851,14.8,0.491,NA,0.219,NA,NA,NA,13.6,NA,NA,NA,2.4,1.2,3.7,0.095
1967-68,36,DLC,ABA,SF,56,1737,21.5,0.558,0.004,0.462,NA,NA,9.1,24.5,19.1,25,NA,6.1,1,7.1,0.196
1968-69,37,DLC,ABA,SF,35,579,26.1,0.6,0.004,0.556,NA,NA,8.1,34.1,18.7,26,NA,2.5,0.5,3,0.247
1969-70,38,DLC,ABA,SF,3,27,21.9,0.612,0.077,0.154,NA,NA,4.9,35.1,22.4,23.8,NA,0.1,0,0.1,0.226
Career,NA,,TOT,,839,24074,19.8,0.512,0,0.333,NA,NA,8.8,18.6,19,25.2,NA,61.9,23.4,85.3,0.17
,NA,,NBA,,745,21731,19.5,0.507,NA,0.32,NA,NA,NA,13.1,NA,NA,NA,53.2,21.9,75.1,0.166
,NA,,ABA,,94,2343,22.6,0.569,0.005,0.482,NA,NA,8.8,27,19,25.2,NA,8.7,1.5,10.2,0.209
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,STL,NBA,,745,21731,19.5,0.507,NA,0.32,NA,NA,NA,13.1,NA,NA,NA,53.2,21.9,75.1,0.166
3 seasons,NA,DLC,ABA,,94,2343,22.6,0.569,0.005,0.482,NA,NA,8.8,27,19,25.2,NA,8.7,1.5,10.2,0.209
