Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,SF,67,NA,971,134,371,0.361,NA,NA,NA,134,371,0.361,0.361,100,145,0.69,NA,NA,247,86,NA,165,368
1957-58,26,STL,NBA,SF,70,NA,2190,503,1135,0.443,NA,NA,NA,503,1135,0.443,0.443,385,501,0.768,NA,NA,707,175,NA,267,1391
1958-59,27,STL,NBA,SF,72,NA,2702,646,1417,0.456,NA,NA,NA,646,1417,0.456,0.456,415,536,0.774,NA,NA,783,245,NA,275,1707
1959-60,28,STL,NBA,SF,75,NA,2798,719,1549,0.464,NA,NA,NA,719,1549,0.464,0.464,421,524,0.803,NA,NA,803,299,NA,270,1859
1960-61,29,STL,NBA,SF,77,NA,2701,661,1490,0.444,NA,NA,NA,661,1490,0.444,0.444,383,467,0.82,NA,NA,715,381,NA,286,1705
1961-62,30,STL,NBA,SF,77,NA,2784,701,1490,0.47,NA,NA,NA,701,1490,0.47,0.47,362,439,0.825,NA,NA,633,370,NA,282,1764
1962-63,31,STL,NBA,SF,79,NA,1716,491,1055,0.465,NA,NA,NA,491,1055,0.465,0.465,244,305,0.8,NA,NA,341,193,NA,211,1226
1963-64,32,STL,NBA,SF,77,NA,2279,572,1280,0.447,NA,NA,NA,572,1280,0.447,0.447,269,331,0.813,NA,NA,377,193,NA,273,1413
1964-65,33,STL,NBA,SF,77,NA,1739,393,901,0.436,NA,NA,NA,393,901,0.436,0.436,214,268,0.799,NA,NA,276,136,NA,182,1000
1965-66,34,STL,NBA,SF,74,NA,1851,419,942,0.445,NA,NA,NA,419,942,0.445,0.445,176,206,0.854,NA,NA,234,164,NA,177,1014
1967-68,36,DLC,ABA,SF,56,NA,1737,371,759,0.489,0,3,0,371,756,0.491,0.489,277,351,0.789,NA,NA,334,276,216,202,1019
1968-69,37,DLC,ABA,SF,35,NA,579,132,259,0.51,0,1,0,132,258,0.512,0.51,123,144,0.854,46,56,102,122,74,73,387
1969-70,38,DLC,ABA,SF,3,NA,27,8,13,0.615,0,1,0,8,12,0.667,0.615,1,2,0.5,1,2,3,6,4,2,17
Career,NA,,TOT,,839,NA,24074,5750,12661,0.454,0,5,0,5750,12656,0.454,0.454,3370,4219,0.799,47,58,5555,2646,294,2665,14870
,NA,,NBA,,745,NA,21731,5239,11630,0.45,NA,NA,NA,5239,11630,0.45,0.45,2969,3722,0.798,NA,NA,5116,2242,NA,2388,13447
,NA,,ABA,,94,NA,2343,511,1031,0.496,0,5,0,511,1026,0.498,0.496,401,497,0.807,47,58,439,404,294,277,1423
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,STL,NBA,,745,NA,21731,5239,11630,0.45,NA,NA,NA,5239,11630,0.45,0.45,2969,3722,0.798,NA,NA,5116,2242,NA,2388,13447
3 seasons,NA,DLC,ABA,,94,NA,2343,511,1031,0.496,0,5,0,511,1026,0.498,0.496,401,497,0.807,47,58,439,404,294,277,1423
