Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,SF,67,NA,971,5,13.8,0.361,NA,NA,NA,5,13.8,0.361,3.7,5.4,0.69,NA,NA,9.2,3.2,NA,6.1,13.6
1957-58,26,STL,NBA,SF,70,NA,2190,8.3,18.7,0.443,NA,NA,NA,8.3,18.7,0.443,6.3,8.2,0.768,NA,NA,11.6,2.9,NA,4.4,22.9
1958-59,27,STL,NBA,SF,72,NA,2702,8.6,18.9,0.456,NA,NA,NA,8.6,18.9,0.456,5.5,7.1,0.774,NA,NA,10.4,3.3,NA,3.7,22.7
1959-60,28,STL,NBA,SF,75,NA,2798,9.3,19.9,0.464,NA,NA,NA,9.3,19.9,0.464,5.4,6.7,0.803,NA,NA,10.3,3.8,NA,3.5,23.9
1960-61,29,STL,NBA,SF,77,NA,2701,8.8,19.9,0.444,NA,NA,NA,8.8,19.9,0.444,5.1,6.2,0.82,NA,NA,9.5,5.1,NA,3.8,22.7
1961-62,30,STL,NBA,SF,77,NA,2784,9.1,19.3,0.47,NA,NA,NA,9.1,19.3,0.47,4.7,5.7,0.825,NA,NA,8.2,4.8,NA,3.6,22.8
1962-63,31,STL,NBA,SF,79,NA,1716,10.3,22.1,0.465,NA,NA,NA,10.3,22.1,0.465,5.1,6.4,0.8,NA,NA,7.2,4,NA,4.4,25.7
1963-64,32,STL,NBA,SF,77,NA,2279,9,20.2,0.447,NA,NA,NA,9,20.2,0.447,4.2,5.2,0.813,NA,NA,6,3,NA,4.3,22.3
1964-65,33,STL,NBA,SF,77,NA,1739,8.1,18.7,0.436,NA,NA,NA,8.1,18.7,0.436,4.4,5.5,0.799,NA,NA,5.7,2.8,NA,3.8,20.7
1965-66,34,STL,NBA,SF,74,NA,1851,8.1,18.3,0.445,NA,NA,NA,8.1,18.3,0.445,3.4,4,0.854,NA,NA,4.6,3.2,NA,3.4,19.7
1967-68,36,DLC,ABA,SF,56,NA,1737,7.7,15.7,0.489,0,0.1,0,7.7,15.7,0.491,5.7,7.3,0.789,NA,NA,6.9,5.7,4.5,4.2,21.1
1968-69,37,DLC,ABA,SF,35,NA,579,8.2,16.1,0.51,0,0.1,0,8.2,16,0.512,7.6,9,0.854,2.9,3.5,6.3,7.6,4.6,4.5,24.1
1969-70,38,DLC,ABA,SF,3,NA,27,10.7,17.3,0.615,0,1.3,0,10.7,16,0.667,1.3,2.7,0.5,1.3,2.7,4,8,5.3,2.7,22.7
Career,NA,,TOT,,839,NA,24074,8.6,18.9,0.454,0,0.1,0,8.6,18.9,0.454,5,6.3,0.799,2.8,3.4,8.3,4,4.5,4,22.2
,NA,,NBA,,745,NA,21731,8.7,19.3,0.45,NA,NA,NA,8.7,19.3,0.45,4.9,6.2,0.798,NA,NA,8.5,3.7,NA,4,22.3
,NA,,ABA,,94,NA,2343,7.9,15.8,0.496,0,0.1,0,7.9,15.8,0.498,6.2,7.6,0.807,2.8,3.4,6.7,6.2,4.5,4.3,21.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,STL,NBA,,745,NA,21731,8.7,19.3,0.45,NA,NA,NA,8.7,19.3,0.45,4.9,6.2,0.798,NA,NA,8.5,3.7,NA,4,22.3
3 seasons,NA,DLC,ABA,,94,NA,2343,7.9,15.8,0.496,0,0.1,0,7.9,15.8,0.498,6.2,7.6,0.807,2.8,3.4,6.7,6.2,4.5,4.3,21.9
