Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1957-58,26,STL,NBA,SF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-59,27,STL,NBA,SF,1,1,22:00,6,12,0.5,NA,NA,NA,3,3,1,NA,8,3,NA,5,15
1959-60,28,STL,NBA,SF,1,0,21:00,1,9,0.111,NA,NA,NA,0,0,NA,NA,3,2,NA,1,2
1960-61,29,STL,NBA,SF,1,0,13:00,0,2,0,NA,NA,NA,2,2,1,NA,2,0,NA,1,2
1961-62,30,STL,NBA,SF,1,0,9:00,1,3,0.333,NA,NA,NA,0,0,NA,NA,2,1,NA,1,2
1967-68,36,DLC,ABA,SF,1,NA,24:00,4,11,0.364,0,0,NA,2,2,1,0,0,5,3,2,10
Career,NA,,TOT,,5,1,89,12,37,0.324,0,0,NA,7,7,1,0,15,11,3,10,31
,NA,,NBA,,4,1,65,8,26,0.308,NA,NA,NA,5,5,1,NA,15,6,NA,8,21
,NA,,ABA,,1,NA,24,4,11,0.364,0,0,NA,2,2,1,0,0,5,3,2,10
