,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1956-57,25,STL,NBA,,8,,,,,,13,14,,,,,,6,20
1957-58,26,STL,NBA,,18,,,,,,16,19,,,,,,6,41
1958-59,27,STL,NBA,,16,,,,,,14,18,,,,,,,39
1959-60,28,STL,NBA,,16,,,,,,16,17,,,,,,,44
1960-61,29,STL,NBA,,16,,,,,,13,,,,,,,,38
1961-62,30,STL,NBA,,19,,,,,,17,,,,,,,,55
1962-63,31,STL,NBA,,16,,,,,,13,,,,,,,,43
1963-64,32,STL,NBA,,16,,,,,,11,12,,,,,,,39
1964-65,33,STL,NBA,,13,24,,,,,10,10,,,11,,,,32
1965-66,34,STL,NBA,,16,,,,,,8,9,,,,,,,33
1967-68,36,DLC,ABA,,14,,0,,,,12,17,,,,,,,35
1968-69,37,DLC,ABA,,12,,0,,,,14,15,,,,,,,38
1969-70,38,DLC,ABA,,7,,0,,,,1,2,,,,,,,15
Career,,,TOT,,19,,,,,,17,,,,,,,,55
,,,NBA,,19,,,,,,17,,,,,,,,55
,,,ABA,,14,,0,,,,14,17,,,,,,,38
,,,,,,,,,,,,,,,,,,,
10 Seasons,,STL,NBA,,19,,,,,,17,,,,,,,,55
3 Seasons,,DLC,ABA,,14,,0,,,,14,17,,,,,,,38
