,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,DET,NBA,,1,2,,,,,1,1,,,0,1,,,,0,3
1969-70,26,WSA,ABA,,15,,3,,,,8,10,,,,,,,,,35
1970-71,27,VIR,ABA,,16,,0,,,,12,16,,,,,,,,,40
1971-72,28,TOT,ABA,,14,,0,,,,17,20,,,,,,,,,35
1971-72,28,PTC,ABA,,14,,0,,,,17,20,,,,,,,,,35
1971-72,28,CAR,ABA,,14,,0,,,,11,15,,,,,,,,,34
1972-73,29,NYA,ABA,,16,,0,,,,14,17,,,,,,,,,40
1973-74,30,VIR,ABA,,15,,3,,,,13,17,,,,,,,,,38
1974-75,31,MMS,ABA,,15,,2,,,,13,16,,,,,,,,,37
1975-76,32,UTS,ABA,,5,,0,,,,9,12,,,,,,,,,17
Career,,,TOT,,16,,,,,,17,20,,,,,,,,,40
,,,NBA,,1,2,,,,,1,1,,,0,1,,,,0,3
,,,ABA,,16,,3,,,,17,20,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,
3 Seasons,,"VIR,WSA",ABA,,16,,3,,,,13,17,,,,,,,,,40
1 Season,,NYA,ABA,,16,,0,,,,14,17,,,,,,,,,40
1 Season,,MMS,ABA,,15,,2,,,,13,16,,,,,,,,,37
1 Season,,PTC,ABA,,14,,0,,,,17,20,,,,,,,,,35
1 Season,,CAR,ABA,,14,,0,,,,11,15,,,,,,,,,34
1 Season,,UTS,ABA,,5,,0,,,,9,12,,,,,,,,,17
1 Season,,DET,NBA,,1,2,,,,,1,1,,,0,1,,,,0,3
