Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
George Carter,,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA,NA,NA,NA
Walter Simon,87.1,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA,NA
Tiago Splitter,86.5,8.2,4.6,4.3,4,2.3,1.7,0.1,NA,NA,NA,NA,NA
Mel Hutchins,84.9,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA,NA,NA,NA,NA
Bison Dele,83.6,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA,NA
Adam Keefe,83.6,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA
Markieff Morris,83.0,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA
Dick Schnittker,82.7,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA,NA
Michael Kidd-Gilchrist,82.5,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA,NA,NA,NA
Tracy Murray,82.5,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Bill Robinzine,82.1,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA,NA,NA,NA
