Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
George Carter,,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0
Brandon Bass,90.2,6.3,4.7,4.7,4.3,4.1,2,0.1,0
Bingo Smith,87.3,6.1,4.2,4.2,3.7,3.3,2.4,1.6,1.1
Walter Simon,87.1,6.1,4.8,4.5,4.1,3.4,2.7,2,NA
Tiago Splitter,86.5,8.2,4.6,4.3,4,2.3,1.7,0.1,NA
Amir Johnson,85.9,7.3,5.6,4.5,4,3,2.7,0.5,0.2
Adam Keefe,85.1,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Mel Hutchins,84.9,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA
Tracy Murray,84.9,6.5,4.9,4.4,3.8,2.2,0.5,0.5,0.3
Kenny Carr,84.4,6.7,5.8,5.1,3.8,2.9,2.1,1.1,0
Phil Hubbard,84.4,5.7,4.6,4.5,3.4,3.3,2.6,1.6,0.2
