Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bill Curley,,0.7,0.5,0.2,0.2,0
Obinna Ekezie,81.0,0.7,0.5,0.4,0.2,NA
Hank McDowell,76.9,0.7,0.4,0.4,0.2,0.1
Ansu Sesay,75.1,0.8,0.5,0.2,-0.1,NA
Jamal Sampson,74.5,0.5,0.4,0.2,0.2,0
Ron Grandison,71.0,0.6,0.5,0,0,NA
Gene Guarilia,70.7,0.7,0.5,0.3,-0.2,NA
Michael Smith,69.5,0.7,0.3,0.3,NA,NA
Mark Hendrickson,69.4,0.9,0.8,0.3,0.1,NA
Ronald Dupree,68.8,1,0.5,0.3,0.1,0
Roderick McDonald,68.7,0.5,0.5,0.2,NA,NA
