Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Jawad Williams,,1.1,0,-0.5
Scott English,49.3,1,0,-0.2
Chris King,43.3,1.1,0,-0.1
Glenn McDonald,39.9,1.1,0.2,-0.2
Ivano Newbill,38.2,1.1,0.1,-0.1
Georges Niang,37.6,1.3,0,-0.3
Žarko Čabarkapa,33.1,1.3,0.3,-0.4
Michael Young,31.6,1.1,0,0
Jeffery Taylor,23.8,1.2,0.3,-0.2
Art Long,23.4,1.4,-0.1,-0.3
Howie Jolliff,18.9,1.2,-0.2,-0.3
