Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,22,DET,NBA,SG,57,NA,14.8,2.6,7,0.368,1.2,1.8,0.71,1.9,1.8,2.4,6.4
1963-64,23,TOT,NBA,SG,66,NA,22.1,3.6,9.6,0.374,1.9,2.7,0.712,2.1,2.8,2.7,9.1
1963-64,23,DET,NBA,SG,1,NA,2,1,4,0.25,0,0,NA,0,0,2,2
1963-64,23,BAL,NBA,SG,65,NA,22.4,3.6,9.6,0.375,1.9,2.7,0.712,2.1,2.8,2.7,9.2
1964-65,24,BAL,NBA,PG,80,NA,30.2,5.1,12,0.424,2.7,3.5,0.754,2.9,3.7,4,12.8
1965-66,25,BAL,NBA,SG,74,NA,33.2,7.1,17.1,0.416,4,4.8,0.83,3.1,4.8,3.7,18.2
1966-67,26,BAL,NBA,SG,76,NA,33.9,6.8,17.2,0.398,4.5,5.4,0.825,4.6,3.8,3.9,18.2
1967-68,27,BAL,NBA,PG,77,NA,29.8,5.9,14.6,0.406,4,5.1,0.778,3.2,3.3,3.9,15.9
1968-69,28,BAL,NBA,PG,80,NA,39.2,9,20.5,0.438,4.7,5.8,0.803,3.3,4.8,3.7,22.6
1969-70,29,BAL,NBA,SG,55,NA,37,8.7,19.7,0.441,4.6,5.4,0.849,3.1,5.3,3.3,21.9
1970-71,30,BAL,NBA,SG,82,NA,27.6,5.9,14.5,0.403,3.4,4,0.831,2.7,3.7,3,15.1
1971-72,31,TOT,NBA,SG,76,NA,23.3,4.5,10.6,0.422,3.5,4.2,0.822,2.4,2.6,2.8,12.4
1971-72,31,BAL,NBA,SG,2,NA,21,2,8.5,0.235,2.5,4,0.625,2.5,4,2.5,6.5
1971-72,31,PHI,NBA,SG,74,NA,23.4,4.6,10.7,0.426,3.5,4.2,0.827,2.4,2.5,2.8,12.6
1972-73,32,PHI,NBA,SG,32,NA,29.8,5.3,13.3,0.396,3.3,4.1,0.823,3.5,4.6,3.3,13.9
Career,NA,,NBA,,755,NA,29.4,5.9,14.3,0.413,3.5,4.3,0.803,3,3.7,3.4,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,BAL,NBA,,591,NA,31.6,6.5,15.6,0.415,3.7,4.6,0.803,3.1,4,3.5,16.6
2 seasons,NA,PHI,NBA,,106,NA,25.3,4.8,11.5,0.415,3.4,4.2,0.826,2.7,3.2,2.9,13
2 seasons,NA,DET,NBA,,58,NA,14.6,2.5,6.9,0.367,1.2,1.7,0.71,1.9,1.8,2.4,6.3
