Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kevin Loughery,,8,4,3.6,3,2.9,2.8,2.6,2.5,0.6,0.1,-0.3
Darrell Walker,86.9,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA
Damon Jones,84.7,8.7,3.9,3.4,3,2.4,1.9,1.8,1.5,0.7,0.7,0
Jim Cleamons,83.0,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA
Travis Best,82.6,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA
Marco Belinelli,82.4,5.9,3.7,3.4,3.2,3,2.9,2.9,1.2,0.5,0.5,0
Larry Hughes,82.2,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.6
Charlie Ward,81.2,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1,0.5,-0.2
George McCloud,79.2,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,-0.4,-0.7
Thabo Sefolosha,78.6,6.8,4.5,4.1,4,3.3,3,2.5,2.2,1.8,1.5,0.8
Jon Barry,78.5,7.5,5.6,4.2,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
