Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ryan Kelly,,2.2,0.7,0.1,0.1,NA
Bill Bunting,88.1,2,0.7,0,NA,NA
Gerard King,86.2,2.3,0.5,0.2,NA,NA
Bernard Thompson,85.1,2.1,0.9,0.2,0.1,0
Joey Dorsey,83.9,1.9,0.8,0.1,0,NA
Ron Bonham,78.3,1.8,0.7,0.2,NA,NA
J.J. Anderson,77.8,2.3,0.2,0.1,NA,NA
Chris Copeland,76.8,2.1,1,-0.1,-0.1,NA
Jim Bradley,76.7,2.3,1.3,0.1,NA,NA
Jim Holstein,76.7,1.8,0.6,0.2,NA,NA
Larry Spriggs,75.4,2.6,0.5,0.3,0.1,0
