Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Andrew Wiggins,,4.2,4.1,2.1,2.1,0.6
Bill Calhoun,93.9,4.5,3.9,2.2,2.1,0.4
Ed Conlin,92.3,4.7,4.3,2,2,0.7
Larry McNeill,90.0,4.4,4.3,2.3,1.5,0.7
T.J. Warren,89.9,4.1,3.4,2.2,2.1,1.1
Mike O'Koren,89.7,4.1,3.8,2,1.9,1.5
Bison Dele,89.6,4.7,4,2.3,1.8,0.3
Andrea Bargnani,89.1,4.2,3.9,2.5,1.9,1.4
Antoine Carr,89.1,3.8,3.3,2.2,2.1,0.7
James Jones,87.9,4,3.7,2.5,2.2,0
David Benoit,87.5,4.6,3.9,2.3,2,1.6
