Season,Team,Lg,Salary
2014-15,Minnesota Timberwolves,NBA,"$5,510,640"
2015-16,Minnesota Timberwolves,NBA,"$5,758,680"
2016-17,Minnesota Timberwolves,NBA,"$6,006,600"
2017-18,Minnesota Timberwolves,NBA,"$7,574,322"
2018-19,Minnesota Timberwolves,NBA,"$25,467,250"
Career,(may be incomplete),,"$50,317,492"
