Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Andrew Wiggins,,4.2,4.1,2.1,2.1,0.6,NA,NA
T.J. Warren,89.9,4.1,3.4,2.2,2.1,1.1,NA,NA
Larry McNeill,89.2,4.4,4.3,2.3,1.5,0.7,0.1,NA
Ed Conlin,88.8,4.7,4.3,2,2,0.7,0.5,-0.1
Tom Abernethy,86.9,4.1,3.7,3.1,2,0.4,NA,NA
Dave Meyers,85.0,5,3.9,2.4,2.2,NA,NA,NA
Dwight Davis,83.5,3.7,3.3,2.3,1.5,0.6,NA,NA
Richaun Holmes,82.6,4.3,3.8,2.8,1.5,NA,NA,NA
Bill Garnett,82.4,3.9,3.5,2,1.5,NA,NA,NA
Dave Budd,82.3,4.1,3.2,2.3,1.2,0.9,NA,NA
Richard Washington,82.3,3.9,3.2,2.1,2,0,-0.5,NA
