Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kevin Stacom,,1.8,0.9,0.8,0.6,-0.1,-0.8
Doug Overton,68.3,1.7,0.9,0.6,0.2,-0.2,-0.4
Kevin McKenna,67.9,1.7,0.9,0.7,0.6,0.5,-0.3
John Warren,67.3,1.7,0.9,0.8,0.5,0.3,NA
Raul Neto,66.8,1.8,1.1,0.9,0.7,NA,NA
Dahntay Jones,66.5,2,0.9,0.7,0.6,0.4,-0.4
Sergio Rodríguez,65.7,1.7,1.2,0.9,0.7,-0.2,NA
Ronald Murray,62.4,1.7,1.3,0.7,0.4,-0.3,-0.3
Antoine Wright,61.8,1.4,1.2,0.8,0.3,-0.1,-0.5
Gerald Green,60.2,1.6,1.3,1.2,0.5,0,-0.4
Anthony Johnson,60.0,1.8,1.1,0.7,0.4,0.3,-0.2
